Iter	RA1	AS1	SH1	RA5	AS5	AH5	RA10	AS10	SH10	RA15	AS15	SH15	RA20	AS20	SH20	RA30	AS30	SH30	RA50	AS50	SH50
3300	2,48896	2,29517	2,35841	1,26242	1,0278	1,08163	0,9952	0,76378	0,75682	0,80059	0,69071	0,56466	0,79943	0,68896	0,5616	0,78602	0,83046	0,45812	0,79408	0,83419	0,45947
3400	2,52295	2,28573	2,35142	1,23205	1,01302	1,07436	0,93721	0,75538	0,7584	0,81248	0,70691	0,57052	0,81172	0,70415	0,57164	0,80703	0,86057	0,46618	0,82119	0,85894	0,46906
3500	2,56554	2,43311	2,56883	1,32507	1,0605	1,09113	0,96632	0,77384	0,77805	0,84995	0,766	0,58386	0,84521	0,73677	0,59079	0,85114	0,90762	0,48615	0,85519	0,9097	0,4826
3600	2,66724	2,39777	2,51493	1,24948	1,0283	1,11482	0,98247	0,78362	0,77397	0,85139	0,74238	0,58844	0,85098	0,75215	0,59058	0,86863	0,93263	0,48641	0,87114	0,93861	0,48729
3700	2,7121	2,4644	2,54441	1,28534	1,05592	1,11345	0,99872	0,80277	0,79194	0,88421	0,78256	0,60611	0,8738	0,77095	0,59965	0,89199	0,97054	0,49835	0,93997	0,97772	0,49827
3800	2,76871	2,49496	2,5916	1,31376	1,07049	1,12604	1,01246	0,81407	0,80305	0,89288	0,7913	0,61018	0,9082	0,83032	0,60714	0,91618	1,02945	0,50811	0,91989	0,99724	0,50056
3900	2,91836	2,5776	2,66513	1,31637	1,11158	1,13127	1,02872	0,83451	0,81029	0,93991	0,83826	0,671	0,92687	0,82106	0,62769	0,93616	0,93428	0,57205	0,95308	1,03664	0,51814
4000	2,89499	2,64061	2,7427	1,3338	1,08654	1,14553	1,09682	0,85182	0,8229	1,01344	0,84399	0,75308	0,94052	0,89607	0,63852	0,94	0,8406	0,64042	0,99232	1,08929	0,53105
4100	2,99497	2,69962	2,79349	1,3593	1,10173	1,1634	1,07552	0,87744	0,84055	1,0687	0,86832	0,83695	0,95895	0,86364	0,64372	0,95356	0,86325	0,64721	1,00632	1,14686	0,54312
4200	3,05727	2,77755	2,86643	1,38482	1,11439	1,17459	1,09578	0,93133	0,8791	1,09578	0,88601	0,85261	0,99186	0,89743	0,65939	0,98425	0,90709	0,66478	1,05332	1,18264	0,55842
4300	3,21461	2,85726	2,98091	1,40595	1,13447	1,19758	1,12464	0,90699	0,8678	1,11627	0,91396	0,86114	1,01371	0,93111	0,68117	1,0276	0,9455	0,68667	1,10655	1,24754	0,58309
4400	3,2158	2,90093	3,02228	1,42335	1,15629	1,20941	1,14959	0,93125	0,88433	1,18449	0,92695	0,88051	1,04161	0,94595	0,68582	1,02843	0,95007	0,68596	1,12105	1,27018	0,59025
4500	3,34329	3,01056	3,07712	1,44194	1,16109	1,23341	1,17603	0,95864	0,88907	1,16791	0,94683	0,90303	1,07187	0,9786	0,69977	1,06274	0,98237	0,70209	1,15549	1,31588	0,59284
4600	3,43053	3,07186	3,2116	1,46633	1,17761	1,2385	1,18355	0,96713	0,90878	1,18125	0,9691	0,90109	1,09935	1,01976	0,73269	1,10672	1,02678	0,72213	1,20127	1,38882	0,6107
4700	3,46366	3,16709	3,46533	1,50823	1,20096	1,26253	1,22112	0,9877	0,9256	1,21964	0,99406	0,92497	1,13264	1,06137	0,73187	1,12055	1,04908	0,72927	1,22876	1,42127	0,62264
4800	3,54205	3,19817	3,34564	1,51341	1,21789	1,3119	1,23891	1,00385	0,93281	1,23944	1,00944	0,94027	1,14474	1,06716	0,73675	1,16359	1,09888	0,78218	1,35418	1,468	0,63394
4900	3,61297	3,26318	3,39627	1,56375	1,23853	1,30449	1,26088	1,0385	0,94845	1,25255	1,02554	0,94242	1,19141	1,10536	0,75612	1,18324	1,12703	0,78022	1,39752	1,58792	0,65719
