Iter	RQ1	ASQ1	SHSQ1	RQ15	ASQ15	SHSQ15	RS	ASS	SHSS
6500	0,899	0,494833	0,633333	0,8544	0,3758	0,5586	1,1754	0,606567	0,8112
6600	0,9081	0,5085	0,644633	0,855767	0,3926	0,5608	1,19617	0,587867	0,8206
6700	0,9225	0,5052	0,641433	0,874633	0,403933	0,562933	1,23057	0,595833	0,8268
6800	0,938367	0,506167	0,66	0,8897	0,3953	0,584033	1,2358	0,638867	0,8591
6900	0,958767	0,5294	0,674533	0,902667	0,416067	0,5928	1,27097	0,658167	0,859433
7000	0,974267	0,537733	0,686833	0,9154	0,418333	0,5981	1,27393	0,688133	0,8876
7100	0,9885	0,5366	0,6974	0,933433	0,432267	0,605533	1,29387	0,665867	0,886433
7200	1,00173	0,5521	0,7048	0,9478	0,426267	0,626	1,31437	0,6132	0,905667
7300	1,03473	0,566467	0,7293	0,955833	0,433633	0,635767	1,34157	0,683367	0,916867
7400	1,03077	0,5857	0,7295	0,9759	0,445367	0,635867	1,35423	0,671567	0,9577
7500	1,05243	0,584767	0,727067	0,983633	0,444033	0,6428	1,37387	0,781867	0,951767
7600	1,06427	0,5878	0,757467	1,0059	0,451867	0,659167	1,42913	0,699833	0,972133
7700	1,07687	0,5963	0,757267	1,019	0,4677	0,6752	1,4164	0,7041	0,9938
7800	1,09743	0,590333	0,768933	1,02687	0,4615	0,6813	1,45503	0,7483	1,00743
7900	1,11203	0,6108	0,763133	1,05173	0,494567	0,6796	1,45563	0,756067	1,0188
8000	1,12377	0,6126	0,7744	1,0553	0,497133	0,689367	1,47893	0,803633	1,02427
8100	1,13797	0,623333	0,799	1,069	0,477867	0,6894	1,4909	0,7253	1,03563
8200	1,15463	0,629533	0,819833	1,08993	0,481667	0,710833	1,52693	0,7724	1,0592
8300	1,1725	0,6365	0,804033	1,10547	0,496267	0,7079	1,55387	0,803367	1,0605
8400	1,18777	0,647467	0,8437	1,11513	0,5028	0,733667	1,6164	0,771667	1,07523
8500	1,21203	0,658667	0,856967	1,13943	0,5129	0,735567	1,5858	0,765267	1,0887
